762                                                                                                                                                                                                  Answer Solutions Specification Guide
US2490S                    511    Strgt Wksf w/Soft Edg Prof
US2496                       507    Univ Str WS CD
US2496S                    511    Strgt Wksf w/Soft Edg Prof
US3024                       508    Univ Str WS CD
US3030                       508    Univ Str WS CD
US3036                       508    Univ Str WS CD
US3042                       508    Univ Str WS CD
US3048                       508    Univ Str WS CD
US3048S                    511    Strgt Wksf w/Soft Edg Prof
US3054                       508    Univ Str WS CD
US3054S                    511    Strgt Wksf w/Soft Edg Prof
US3060                       508    Univ Str WS CD
US3060S                    511    Strgt Wksf w/Soft Edg Prof
US3066                       508    Univ Str WS CD
US3066S                    511    Strgt Wksf w/Soft Edg Prof
US3072                       508    Univ Str WS CD
US3072S                    511    Strgt Wksf w/Soft Edg Prof
US3660                       508    Univ Str WS CD
US3666                       508    Univ Str WS CD
US3672                       508    Univ Str WS CD
USPC47                      527    Univ Spnr WS CD
USPC51                      527    Univ Spnr WS CD/FD
USPC59                      527    Univ Spnr WS CD
USPC63                      527    Univ Spnr WS CD/FD
USSBR                        545    Univ Side Supp Brkt
UST1260                    517    Univ Sgl-Tprd WS CD
UST1272                    517    Univ Sgl-Tprd WS CD
UST2160                    517    Univ Sgl-Tprd WS CD
UST2172                    517    Univ Sgl-Tprd WS CD
UST2360                    517    Univ Sgl-Tprd WS CD
UST2372                    517    Univ Sgl-Tprd WS CD
UST3260                    517    Univ Sgl-Tprd WS CD
UST3272                    517    Univ Sgl-Tprd WS CD
UT1236R                    513    Univ Trans WS CD
UT1242R                    513    Univ Trans WS CD
UT1248R                    513    Univ Trans WS CD
UT1254R                    513    Univ Trans WS CD
UT1260R                    513    Univ Trans WS CD
UT2136L                    513    Univ Trans WS CD
UT2142L                    513    Univ Trans WS CD
UT2148L                    513    Univ Trans WS CD
UT2154L                    513    Univ Trans WS CD
UT2160L                    513    Univ Trans WS CD
UT2336R                    513    Univ Trans WS CD
UT2342R                    513    Univ Trans WS CD
UT2348R                    513    Univ Trans WS CD
UT2354R                    513    Univ Trans WS CD
UT2360R                    513    Univ Trans WS CD
UT3236L                    513    Univ Trans WS CD
UT3242L                    513    Univ Trans WS CD
UT3248L                    513    Univ Trans WS CD
UT3254L                    513    Univ Trans WS CD
UT3260L                    513    Univ Trans WS CD
UTR1630A                 539    Univ Transaction WS
UTR1630SA               539    Univ Transaction WS
UTR1630TA               539    Univ Transaction WS
UTR1636A                 539    Univ Transaction WS
UTR1636SA               539    Univ Transaction WS
UTR1636TA               539    Univ Transaction WS
UTR1642A                 539    Univ Transaction WS
UTR1642SA               539    Univ Transaction WS
UTR1642TA               539    Univ Transaction WS
UTR1648A                 539    Univ Transaction WS
UTR1648SA               539    Univ Transaction WS
UTR1648TA               539    Univ Transaction WS
UTR1660A                 539    Univ Transaction WS
UTR1660SA               539    Univ Transaction WS
UTR1660TA               539    Univ Transaction WS
UTT1248                    514    Univ Taprd WS CD
UTT1260                    514    Univ Taprd WS CD
UTT1272                    514    Univ Taprd WS CD
UTT2148                    514    Univ Taprd WS CD
UTT2160                    514    Univ Taprd WS CD
UTT2172                    514    Univ Taprd WS CD
UTT2348                    514    Univ Taprd WS CD
UTT2348S                  515    Tprd Wksf w/Soft Edg Prof
UTT2360                    514    Univ Taprd WS CD
UTT2360S                  515    Tprd Wksf w/Soft Edg Prof
UTT2372                    514    Univ Taprd WS CD
UTT2372S                  515    Tprd Wksf w/Soft Edg Prof
UTT3248                    514    Univ Taprd WS CD
UTT3248S                  515    Tprd Wksf w/Soft Edg Prof
UTT3260                    514    Univ Taprd WS CD
UTT3260S                  515    Tprd Wksf w/Soft Edg Prof
UTT3272                    514    Univ Taprd WS CD
UTT3272S                  515    Tprd Wksf w/Soft Edg Prof
UTTF1260                  516    Univ Taper-Flat WS CD
UTTF1272                  516    Univ Taper-Flat WS CD
UTTF1360                  516    Univ Taper-Flat WS CD
UTTF1372                  516    Univ Taper-Flat WS CD
UTTF2160                  516    Univ Taper-Flat WS CD
UTTF2172                  516    Univ Taper-Flat WS CD
UTTF2360                  516    Univ Taper-Flat WS CD
UTTF2372                  516    Univ Taper-Flat WS CD
UTTF3160                  516    Univ Taper-Flat WS CD
UTTF3172                  516    Univ Taper-Flat WS CD
UTTF3260                  516    Univ Taper-Flat WS CD
UTTF3272                  516    Univ Taper-Flat WS CD
UTTRC                        541    Cord and Plug
UTTRCN                     541    Cord and Plug
UTTRHW                    541    Hardwire Power
UTTRHWN                 541    Hardwire Power
UTTRM                       541    Modular Power
UTTRMN                    541    Modular Power
UVC2424L                 536    Univ Visitor Wksf
UVC2424R                 537    Univ Visitor Wksf
UVC2430L                 536    Univ Visitor Wksf
UVC2430R                 537    Univ Visitor Wksf
UVC2436L                 536    Univ Visitor Wksf
UVC2436R                 537    Univ Visitor Wksf
Style Number Index, continued
...............................................................................................................................................
...............................................................................................................................................
...............................................................................................................................................
Style
Number                Page   Description
Style
Number                Page   Description
February 2015
