Answer Solutions Specification Guide                                                                                                                                 cStyle Number Index, continued  733
Style Number Index
...............................................................................................................................................
...............................................................................................................................................
...............................................................................................................................................
RAACWJ                     675    Counterweight Pkg
RAANBRK                  676    Anchor Bracket Pkg
RAHF30                      672    Hanging Folder Bars
RAHF36                      672    Hanging Folder Bars
RAHF42                      672    Hanging Folder Bars
RASTDIV30               674    Shelf Divider Assembly
RASTDIV36               674    Shelf Divider Assembly
RASTDIV42               674    Shelf Divider Assembly
RATCL18108_           668    Square Edge Top
RATCL1860_              668    Square Edge Top
RATCL1866_              668    Square Edge Top
RATCL1872_              668    Square Edge Top
RATCL1878_              668    Square Edge Top
RATCL1884_              668    Square Edge Top
RATCL1890_              668    Square Edge Top
RATCL1896_              668    Square Edge Top
RATCL24108_           669    Square Edge Top
RATCL2460_              669    Square Edge Top
RATCL2466_              669    Square Edge Top
RATCL2472_              669    Square Edge Top
RATCL2490_              669    Square Edge Top
RATCL2496_              669    Square Edge Top
RATCL3636_              669    Square Edge Top
RATCL3672_              669    Square Edge Top
RATCL4836_              669    Square Edge Top
RATCL4872_              669    Square Edge Top
RATCW1860_            669    Square Edge Top
RATCW1866_            669    Square Edge Top
RATCW1872_            669    Square Edge Top
RATCW1878_            669    Square Edge Top
RATCW1884_            669    Square Edge Top
RATCW1890_            669    Square Edge Top
RATCW1896_            669    Square Edge Top
RATCW2460_            669    Square Edge Top
RATCW2466_            669    Square Edge Top
RATCW2472_            669    Square Edge Top
RATCW2490_            669    Square Edge Top
RATCW2496_            669    Square Edge Top
RATF1830F                666    Steel Security Top
RATF1830P                666    Steel Security Top
RATF1836F                666    Steel Security Top
RATF1836P                666    Steel Security Top
RATF1842F                666    Steel Security Top
RATF1842P                666    Steel Security Top
RATF2430F                666    Steel Security Top
RATF2430P                666    Steel Security Top
RATF2436F                666    Steel Security Top
RATF2436P                666    Steel Security Top
RATL1830_                668    Square Edge Top
RATL1836_                668    Square Edge Top
RATL1842_                668    Square Edge Top
RATL2430_                668    Square Edge Top
RATL2436_                668    Square Edge Top
RATW1830_               669    Square Edge Top
RATW1836_               669    Square Edge Top
RATW1842_               669    Square Edge Top
RATW2430_               669    Square Edge Top
RATW2436_               669    Square Edge Top
RBB24QCTAK           619    Univ OTC
RBB24QTAK              619    Univ OTC
RBB24TAK                 621    Univ In the Case Bin
RBB24WTAK             621    Univ In the Case Bin
RBB30QCTAK           619    Univ OTC
RBB30QTAK              619    Univ OTC
RBB30TAK                 621    Univ In the Case Bin
RBB30WTAK             621    Univ In the Case Bin
RBB36QCTAK           619    Univ OTC
RBB36QTAK              619    Univ OTC
RBB36TAK                 621    Univ In the Case Bin
RBB36WTAK             621    Univ In the Case Bin
RBB42QCTAK           619    Univ OTC
RBB42QTAK              619    Univ OTC
RBB42TAK                 621    Univ In the Case Bin
RBB42WTAK             621    Univ In the Case Bin
RBB48QCTAK           619    Univ OTC
RBB48QTAK              619    Univ OTC
RBB48TAK                 621    Univ In the Case Bin
RBB48WTAK             621    Univ In the Case Bin
RBB60QCTAK           619    Univ OTC
RBB60QTAK              619    Univ OTC
RBB60TAK                 621    Univ In the Case Bin
RBB60WTAK             621    Univ In the Case Bin
RBB66QCTAK           619    Univ OTC
RBB66QTAK              619    Univ OTC
RBB66TAK                 621    Univ In the Case Bin
RBB66WTAK             621    Univ In the Case Bin
RBB72QCTAK           619    Univ OTC
RBB72QTAK              619    Univ OTC
RBB72TAK                 621    Univ In the Case Bin
RBB72WTAK             621    Univ In the Case Bin
RBKHWM24               623    Wall Bracket
RBKHWM25               623    Wall Bracket
RBKHWM30               623    Wall Bracket
RBKHWM35               623    Wall Bracket
RBKHWM36               623    Wall Bracket
RBKHWM42               623    Wall Bracket
RBKHWM45               623    Wall Bracket
RBKHWM48               623    Wall Bracket
RBKHWM60               623    Wall Bracket
RBKHWM70               623    Wall Bracket
RBKHWM72               623    Wall Bracket
RBKVOFM                  624    Vertical Off-Module Brkt
RDD182448LA_        645    Univ Dual Door Tower
RDD182448LB_        646    Univ Dual Door Tower
RDD182448RA_        648    Univ Dual Door Tower
RDD182448RB_        648    Univ Dual Door Tower
RDD18244LA_           646    Univ Dual Door Tower
RDD18244LB_           646    Univ Dual Door Tower
RDD18244RA_          648    Univ Dual Door Tower
RDD18244RB_          649    Univ Dual Door Tower
Style
Number                Page   Description
Style
Number                Page   Description
Resources
February 2015
